313;Товаровед(Залесный); Самокат (ООО Умный ритейл);Казань;36810;15
314;Водитель;ООО РЭД КРАУН;Москва;85000;13
315;Менеджер по работе с клиентами;ООО Пас;Нижний Новгород;40000;1
316;Специалист по кадровому делопроизводству;УП Моторлэнд;Москва;60000;2
317;Сборщик заказов; Пятёрочка. Склад, логистика;Москва;100000;14
318;Бухгалтер на первичную документацию;ИП Лазаренко Г.В.;Алматы;180000;16
319;Специалист по планированию производства;ОАО Пивоваренная компания Аливария,часть Carlsberg Group;Минск;100000;16
320;Водитель-курьер на личном автомобиле Яндекс Маркет (Беру);ИП Левина Галина Алексеевна;Москва;70000;10
321;Руководитель отдела продаж автомобилей BMW; BMW АВТОИДЕЯ;Минск;100000;16
322;Руководитель направления Строительный контроль , г. Воронеж;АО Банк ДОМ.РФ;Воронеж;80000;16
323;Системный администратор; Boxberry;Омск;35000;6
324;Lifestyle manager (Personal Assistant); BSI Lifestyle;Киев;100000;16
325;Продавец-консультант; ZOO43;Киров (Кировская область);22000;12
326;Кассир в сеть ресторанов Японамама;ООО MIKA TRADE;Ташкент;3000000;4
327;Менеджер по работе с клиентами/ресепшионист;ИП Пенкрат П.В;Минск;800;19
328;Оператор автопарка (ст. м. Кожуховская); DHL Express;Москва;50000;3
329;Приемщик авторизованного сервисного центра Apple; Inventive Retail Group, re:Store;Москва;50000;14
330;Водитель;ООО АЭРО-ИН;Санкт-Петербург;60000;12
331;SMM / КОНТЕНТ Менеджер;ТОО e-shop;Нур-Султан;150000;7
332;Инженер ПТО;ООО ГазАртСтрой;Тюмень;120000;2
333;Проджект менеджер онлайн-курсов;ИП Образовательная платформа LABA;Москва;140000;1
334;Продавец-консультант (кавист); Белвингрупп;Гродно;100000;10
335;Инженер-конструктор;ООО ТД Первый электротехнический;Москва;80000;20
336;Главный бухгалтер в ресторанный холдинг;ООО Кафе Луч;Москва;150000;20
337;Контролер управления гипермаркета; Леруа Мерлен. Гипермаркеты;Санкт-Петербург;100000;5
338;Комплектовщик; Директ-Сервис;Москва;42000;17
339;"Продавец-консультант мебели (ТЦ ""Спутник"", г. Молодечно)";ООО МЕБЕЛЬ ДЛЯ ВАС;Молодечно;620;10
340;Бухгалтер;ООО Евроспецкомплект;Москва;55000;1
341;Веб-дизайнер;ООО Медэкс-Могилев;Могилев;600;20
342;Юрисконсульт;ООО Мелитэк;Москва;100000;15
343;Водитель - слесарь;ООО Замок-Сервис;Москва;120000;13
344;Старший менеджер по продажам / Руководитель отдела продаж;ООО Оптимальный Путь;Москва;80000;12
345;Сотрудник охраны; ВОЛЬФ, ЧОП;Москва;50000;19
346;Специалист по федеральной работе с претензиями (без продаж);ПАО МегаФон, IT;Нижний Новгород;30000;9
347;Mid+ JavaScript Developer; Oxagile;Минск;100000;10
348;Разнорабочий; Победа;Санкт-Петербург;40000;4
349;Водитель на автомобиль компании;ООО КОРИС-ГУАРД;Минск;1200;15
350;Менеджер по продажам (специалист по сертификации); Группа Компаний Стандарт Качества;Минск;1500;1
351;Территориальный управляющий розничной сети; Верность качеству, Кондитерская Фабрика;Москва;100000;18
352;Бухгалтер на первичную документацию; Prosperity;Минск;800;18
353;Специалист контакт-центра (call-центр); Банк ВТБ (ПАО);Воронеж;40000;18
354;Водитель категории ВС;ИП Костенко Наталья Владимировна;Санкт-Петербург;56000;1
355;Менеджер по работе с корпоративными клиентами (лизинг оборудования);ООО ЛК Сименс Финанс;Самара;100000;2
356;Руководитель торгового сектора Леруа Мерлен; Леруа Мерлен. Гипермаркеты;Санкт-Петербург;100000;19
357;Директор службы внутренней и экономической безопасности;ООО Регстаэр;Москва;100000;12
358;Кассир торгового зала; ДЛТ. ЦУМ – Санкт-Петербург;Санкт-Петербург;30000;18
359;Ночной Комплектовщик; буше;Москва;40000;6
360;Территориальный руководитель розничной сети; Квадратный метр;Брянск;50000;16
361;Оператор колл-центра; «Пицца Лисицца»;Минск;600;5
362;Оператор производственной линии;ООО Керри;Истра;60000;18
363;Охранник; Легис безопасность;Москва;40000;10
